Package            Version   Latest    Type
------------------ --------- --------- -----
aiohttp            3.12.0    3.13.3    wheel
aiosignal          1.3.2     1.4.0     wheel
anyio              4.9.0     4.12.1    wheel
attrs              25.3.0    25.4.0    wheel
audioop-lts        0.2.1     0.2.2     wheel
Authlib            1.6.0     1.6.7     wheel
bandit             1.8.3     1.9.3     wheel
black              25.1.0    26.1.0    wheel
certifi            2025.4.26 2026.1.4  wheel
cffi               1.17.1    2.0.0     wheel
charset-normalizer 3.4.2     3.4.4     wheel
click              8.1.8     8.3.1     wheel
coverage           7.8.2     7.13.3    wheel
cryptography       45.0.3    46.0.4    wheel
discord.py         2.5.2     2.6.4     wheel
filelock           3.16.1    3.20.3    wheel
flake8             7.2.0     7.3.0     wheel
frozenlist         1.6.0     1.8.0     wheel
idna               3.10      3.11      wheel
iniconfig          2.1.0     2.3.0     wheel
jiter              0.10.0    0.13.0    wheel
joblib             1.5.1     1.5.3     wheel
markdown-it-py     3.0.0     4.0.0     wheel
MarkupSafe         3.0.2     3.0.3     wheel
marshmallow        4.0.0     4.2.2     wheel
multidict          6.4.4     6.7.1     wheel
nltk               3.9.1     3.9.2     wheel
openai             1.99.2    2.17.0    wheel
packaging          25.0      26.0      wheel
pathspec           0.12.1    1.0.4     wheel
pbr                6.1.1     7.0.3     wheel
pip                25.2      26.0.1    wheel
platformdirs       4.3.8     4.5.1     wheel
propcache          0.3.1     0.4.1     wheel
psutil             6.1.1     7.2.2     wheel
pycodestyle        2.13.0    2.14.0    wheel
pycparser          2.22      3.0       wheel
pydantic           2.9.2     2.12.5    wheel
pydantic_core      2.23.4    2.41.5    wheel
pyflakes           3.3.2     3.4.0     wheel
Pygments           2.19.1    2.19.2    wheel
pytest             8.3.5     9.0.2     wheel
pytest-asyncio     1.0.0     1.3.0     wheel
pytest-cov         6.1.1     7.0.0     wheel
pytest-mock        3.14.0    3.15.1    wheel
python-dotenv      1.1.1     1.2.1     wheel
PyYAML             6.0.2     6.0.3     wheel
regex              2024.11.6 2026.1.15 wheel
requests           2.32.4    2.32.5    wheel
rich               14.0.0    14.3.2    wheel
ruamel.yaml        0.18.11   0.19.1    wheel
ruamel.yaml.clib   0.2.12    0.2.15    wheel
safety             3.5.1     3.7.0     wheel
safety-schemas     0.0.14    0.0.18    wheel
setuptools         80.8.0    82.0.0    wheel
stevedore          5.4.1     5.6.0     wheel
tenacity           9.1.2     9.1.4     wheel
tomlkit            0.13.2    0.14.0    wheel
tqdm               4.67.1    4.67.3    wheel
typer              0.15.4    0.21.1    wheel
typing_extensions  4.13.2    4.15.0    wheel
typing-inspection  0.4.1     0.4.2     wheel
urllib3            2.4.0     2.6.3     wheel
yarl               1.20.0    1.22.0    wheel
